"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.ts", "TypeScript", 0, 42, 0, 0, 7, 49
"c:\Users\aymen\Desktop\main\src\app\pages\chat\Message.ts", "TypeScript", 0, 3, 0, 2, 0, 5
"c:\Users\aymen\Desktop\main\src\app\pages\chat\chat.component.html", "HTML", 18, 0, 0, 3, 5, 26
"c:\Users\aymen\Desktop\main\src\app\pages\chat\chat.component.scss", "SCSS", 0, 0, 87, 5, 18, 110
"c:\Users\aymen\Desktop\main\src\app\pages\chat\chat.component.ts", "TypeScript", 0, 140, 0, 72, 48, 260
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\dashboard.component.html", "HTML", 265, 0, 0, 61, 40, 366
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\dashboard.component.scss", "SCSS", 0, 0, 40, 2, 4, 46
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\dashboard.component.ts", "TypeScript", 0, 494, 0, 67, 64, 625
"c:\Users\aymen\Desktop\main\src\app\pages\extra\extra.module.ts", "TypeScript", 0, 25, 0, 1, 5, 31
"c:\Users\aymen\Desktop\main\src\app\pages\extra\extra.routing.ts", "TypeScript", 0, 18, 0, 1, 4, 23
"c:\Users\aymen\Desktop\main\src\app\pages\extra\icons\icons.component.html", "HTML", 8, 0, 0, 3, 1, 12
"c:\Users\aymen\Desktop\main\src\app\pages\extra\icons\icons.component.ts", "TypeScript", 0, 10, 0, 0, 5, 15
"c:\Users\aymen\Desktop\main\src\app\pages\extra\sample-page\sample-page.component.html", "HTML", 6, 0, 0, 3, 1, 10
"c:\Users\aymen\Desktop\main\src\app\pages\extra\sample-page\sample-page.component.ts", "TypeScript", 0, 10, 0, 0, 5, 15
"c:\Users\aymen\Desktop\main\src\app\pages\pages.module.ts", "TypeScript", 0, 23, 0, 1, 2, 26
"c:\Users\aymen\Desktop\main\src\app\pages\pages.routing.module.ts", "TypeScript", 0, 11, 0, 0, 2, 13
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\badge\badge.component.html", "HTML", 50, 0, 0, 0, 7, 57
